Goal Type,User ID,Portfolio ID,Region,ID
GENERAL_INVESTING,SG59866fb8840fe0000b234493,SGa09326d4-178f-482c-aaf3-ab8aab32b3c6,SG,598670d5078d11000a1462dd
RETIREMENT,SG598678c9840fe0000b2344b1,SGb1df85ed-a4dd-49ea-aa5f-c8149c6f0130,SG,5986794f840fe0000b2344b5
GENERAL_INVESTING,SG59867b37078d11000a1462fb,SG2a91b4b8-7d8d-4af4-9908-6ca6ad05e846,SG,59867b82840fe0000b2344bd
RETIREMENT,SG59867ba8078d11000a146300,SG82639fba-4080-478a-beba-d4e44e7c57ad,SG,59867d5d078d11000a146309
CHILD_EDUCATION,SG59867dd0078d11000a146310,SG7b1efdaa-94a7-4df0-adb9-cbe9c0f81042,SG,59867e50840fe0000b2344c8
GENERAL_INVESTING,SG598683ac078d11000a14631e,SG56f67eb3-b36c-4a2a-a48a-cd2483252b4d,SG,598684c1078d11000a146324
GENERAL_INVESTING,SG598687ba840fe0000b2344e5,SG0893a9a6-5082-4c59-8a51-a2aea24914e8,SG,5986887e078d11000a14632a
RETIREMENT,SG59869064078d11000a146339,SGe861aa48-77de-4998-83f5-b2d75247c000,SG,59869122840fe0000b2344f5
RETIREMENT,SG59869008078d11000a146335,SG1496fe03-7e6b-45d3-848c-20f2cd2c0467,SG,59869165840fe0000b2344fa
GENERAL_INVESTING,SG598693c7078d11000a14633f,SG9c821c15-b53f-4a44-85d6-c9314e75daf7,SG,59869416078d11000a146344
CHILD_EDUCATION,SG598699c8078d11000a14635d,SGb71503e9-9379-44af-83c2-0191be37c03a,SG,59869aab078d11000a146363
GENERAL_INVESTING,SG59869957078d11000a146357,SG335125fc-8c2f-4535-a19c-19e91244a43a,SG,59869b74078d11000a146369
GENERAL_INVESTING,SG59869957078d11000a146357,SGd89ac664-d05e-4c3d-a18b-3decaa41a2c0,SG,59869fe6840fe0000b23451e
RETIREMENT,SG5986a3f4078d11000a14637f,SG4da388f5-176b-49b7-840d-f3066579b14f,SG,5986a4b5078d11000a146384
RETIREMENT,SG5986a3f4078d11000a14637f,SG30011f70-abec-4d12-a2b0-208145b69534,SG,5986a4e6078d11000a146389
GENERAL_INVESTING,SG5986a51d840fe0000b234525,SG20c4b671-4daf-4626-b7e2-125a479c44d8,SG,5986a55d840fe0000b234529
GENERAL_INVESTING,SG5986a9ea840fe0000b23452f,SGe6acb0fd-754f-49ac-9030-94ab7d93d02e,SG,5986ab3d078d11000a146397
GENERAL_INVESTING,SG5986addf078d11000a14639f,SG7d94e85e-c7ee-4f8f-a16d-c1cb625b9de1,SG,5986ae98078d11000a1463a3
GENERAL_INVESTING,SG5986b4bd078d11000a1463ae,SG80fa3096-4b20-4151-94a0-694b4b7671d0,SG,5986b571840fe0000b234543
GENERAL_INVESTING,SG5986b688840fe0000b234549,SGf82cacf7-2967-4055-ad05-bfe87cfe85d1,SG,5986b6ed078d11000a1463b9
RETIREMENT,SG5986b6b9078d11000a1463b4,SG936ff209-2eb2-4014-a5b4-bab2c8476016,SG,5986b99c840fe0000b234554
CHILD_EDUCATION,SG5986bf2b078d11000a1463c7,SG8e1730b4-f71b-4fe5-97f3-8b5d17cd9fa9,SG,5986bfa1078d11000a1463cd
GENERAL_INVESTING,SG5986c235840fe0000b234561,SG159fb03e-1365-42db-b470-88b351eeceb1,SG,5986c289840fe0000b234566
RETIREMENT,SG5986b688840fe0000b234549,SGce78980d-e895-4f69-ad20-f6f514a02472,SG,5986c2c6078d11000a1463d9
GENERAL_INVESTING,SG5986ccd7078d11000a1463e1,SG9dbe4919-d36d-41a7-bd8e-507f3f6a7ee0,SG,5986cd66840fe0000b234572
RETIREMENT,SG5986d8e8078d11000a1463ea,SGaf46ee60-9842-43b6-acf7-9e591327708a,SG,5986d9eb840fe0000b23457c
RETIREMENT,SG598979e3840fe0000b234938,SGec566d30-4aad-49fd-9e0a-deff5fb1f480,SG,59897a3f840fe0000b234941
GENERAL_INVESTING,SG598979e3840fe0000b234938,SG8596922a-0ce1-4af3-8c64-17bca8e11162,SG,59897ab2840fe0000b234946
CHILD_EDUCATION,SG5986b486078d11000a1463aa,SGd7708ba4-400e-461c-9345-f01bec88b16f,SG,598a7b5a078d11000a1468ea
CHILD_EDUCATION,SG5986b486078d11000a1463aa,SG7d551121-79c0-496a-8940-4cf59c28301e,SG,598a88c4078d11000a14690a
GENERAL_INVESTING,SG5986b486078d11000a1463aa,SGce6b01db-c9fc-436b-8b51-1840b78bbdd1,SG,598a8ace840fe0000b234a47
BUY_A_HOME,SG5986b486078d11000a1463aa,SG604b52c1-8a72-4fa5-bbb3-2943b097536d,SG,598a8b22840fe0000b234a4d
BUY_A_HOME,SG59867b37078d11000a1462fb,SGa95cc54f-3ace-4dbf-b13c-59c101b6d731,SG,598ac119840fe0000b234a8d
GENERAL_INVESTING,SG598ee8595afffc0009f2df0b,SG49658f60-e378-4a0f-ae33-f3373622984a,SG,598ee9b7a471e5000be04677
GENERAL_INVESTING,SG598ef345a471e5000be0467f,SG355ea015-5e27-4428-b68a-ed2f4cde8cfa,SG,598ef4085afffc0009f2df13
GENERAL_INVESTING,SG598f08b4a471e5000be0468a,SGb82d00b7-194f-4e81-b655-bd6788839e4e,SG,598f08fb5afffc0009f2df1f
GENERAL_INVESTING,SG598f0939a471e5000be0468e,SG983a8c4a-6da0-4cfa-ae2c-cab621df73dd,SG,598f0996a471e5000be04697
